epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3062,1.07085,2.02365,0.99031,0.01847,0.97414,0.91854,0.60197,1.02128,2.49343,0.95355,0.00048,0.00048,0.00048
2,136.499,0.99953,1.00976,0.97478,0.96742,0.42667,0.78892,0.52852,0.92577,2.72965,0.95831,0.000960596,0.000960596,0.000960596
3,205.409,1.06561,0.98761,1.05038,0.96148,0.93246,0.93192,0.61246,1.07436,1.84173,1.03191,0.00142139,0.00142139,0.00142139
4,275.075,0.99341,0.91748,1.00096,0.92174,0.92241,0.91373,0.5989,1.07629,1.37624,1.11242,0.00186239,0.00186239,0.00186239
5,343.4,1.00928,0.84823,1.02446,0.95053,0.93859,0.94069,0.60122,1.0516,1.06613,1.12187,0.0018416,0.0018416,0.0018416
6,411.26,1.01007,0.78613,1.0337,0.94524,0.9454,0.95143,0.66457,0.92501,0.93189,1.07608,0.001802,0.001802,0.001802
7,480.985,0.97656,0.72046,1.00659,0.95808,0.93391,0.96065,0.66596,0.97149,0.82587,1.02988,0.0017624,0.0017624,0.0017624
8,549.31,0.98638,0.69654,1.00855,0.952,0.93966,0.93208,0.64513,0.93218,0.82346,1.04193,0.0017228,0.0017228,0.0017228
9,617.25,0.9974,0.70401,1.01995,0.94404,0.94253,0.94973,0.66108,0.98416,0.78687,1.05106,0.0016832,0.0016832,0.0016832
10,684.881,0.9457,0.64858,1.0223,0.95799,0.93678,0.9359,0.6556,0.92512,0.79446,1.04421,0.0016436,0.0016436,0.0016436
11,752.062,0.95763,0.64428,1.00213,0.95329,0.93828,0.93746,0.6711,0.91046,0.75392,1.05435,0.001604,0.001604,0.001604
12,825.211,0.93316,0.62401,1.00845,0.95344,0.95115,0.95731,0.68549,0.90873,0.64827,1.05083,0.0015644,0.0015644,0.0015644
13,902.955,0.91997,0.6272,1.01819,0.95643,0.94618,0.95987,0.71133,0.82968,0.62022,1.03505,0.0015248,0.0015248,0.0015248
14,969.31,0.93246,0.59347,1.02255,0.9301,0.95583,0.95728,0.69504,0.88005,0.64033,1.06537,0.0014852,0.0014852,0.0014852
15,1035.04,0.9054,0.59871,0.99774,0.96109,0.9454,0.96633,0.71285,0.84185,0.60177,1.03678,0.0014456,0.0014456,0.0014456
16,1100.81,0.91841,0.57567,1.0145,0.93824,0.87311,0.94705,0.66619,1.03537,0.69332,1.05992,0.001406,0.001406,0.001406
17,1168.56,0.91674,0.58134,1.00478,0.95581,0.95115,0.96414,0.70824,0.87796,0.60402,1.04626,0.0013664,0.0013664,0.0013664
18,1235.99,0.91977,0.56312,1.01058,0.96402,0.94253,0.95665,0.70169,0.85662,0.60034,1.06,0.0013268,0.0013268,0.0013268
19,1304.62,0.91952,0.56233,1.01217,0.94472,0.94828,0.95104,0.69046,0.8682,0.57923,1.0488,0.0012872,0.0012872,0.0012872
20,1374,0.87808,0.53892,0.97834,0.83336,0.93678,0.82205,0.54395,0.92227,0.767,1.02761,0.0012476,0.0012476,0.0012476
21,1442.28,0.89005,0.53016,0.99887,0.94385,0.96606,0.95674,0.71553,0.83357,0.5556,1.01314,0.001208,0.001208,0.001208
22,1510.76,0.90005,0.55856,1.00058,0.96323,0.9454,0.96266,0.70676,0.88448,0.57851,1.03321,0.0011684,0.0011684,0.0011684
23,1579.47,0.88053,0.53632,0.98904,0.92402,0.94351,0.94931,0.69696,0.87362,0.62789,1.04863,0.0011288,0.0011288,0.0011288
24,1647.84,0.90903,0.51859,0.99524,0.94827,0.94817,0.95492,0.71458,0.81432,0.56405,1.00712,0.0010892,0.0010892,0.0010892
25,1715.36,0.88223,0.5367,0.97755,0.95904,0.94203,0.96249,0.70612,0.88949,0.52423,1.04191,0.0010496,0.0010496,0.0010496
26,1782.39,0.85729,0.52569,0.98233,0.96465,0.94095,0.96951,0.73501,0.79448,0.51028,1.03005,0.00101,0.00101,0.00101
27,1848.99,0.86229,0.48285,0.99974,0.93307,0.96264,0.96611,0.74211,0.78341,0.50153,1.05064,0.0009704,0.0009704,0.0009704
28,1916.97,0.86392,0.50012,0.98229,0.94379,0.94828,0.96486,0.7539,0.77967,0.51429,1.03508,0.0009308,0.0009308,0.0009308
29,1984.11,0.82316,0.4841,0.9703,0.94759,0.95115,0.9624,0.75114,0.75608,0.5122,1.00307,0.0008912,0.0008912,0.0008912
